track_id,track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
1,Seven,"Latto, Jung Kook",2,2023.0,7,14,553,147,141381703.0,43,263,45,10,826.0,125.0,B,Major,80.0,89.0,83.0,31.0,0,8,4.0
2,Lala,Myke Towers,1,2023.0,3,23,1474,48,133716286.0,48,126,58,14,382.0,92.0,C#,Major,71.0,61.0,74.0,7.0,0,10,4.0
3,Vampire,Olivia Rodrigo,1,2023.0,6,30,1397,113,140003974.0,94,207,91,14,949.0,138.0,F,Major,51.0,32.0,53.0,17.0,0,31,6.0
4,Cruel Summer,Taylor Swift,1,2019.0,8,23,7858,100,800840817.0,116,207,125,12,548.0,170.0,A,Major,55.0,58.0,72.0,11.0,0,11,15.0
5,Where She Goes,Bad Bunny,1,2023.0,5,18,3133,50,303236322.0,84,133,87,15,425.0,144.0,A,Minor,65.0,23.0,80.0,14.0,63,11,6.0
6,Sprinter,"Dave, Central Cee",2,2023.0,6,1,2186,91,183706234.0,67,213,88,17,946.0,141.0,C#,Major,92.0,66.0,58.0,19.0,0,8,24.0
7,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023.0,3,16,3090,50,725980112.0,34,222,43,13,418.0,148.0,F,Minor,67.0,83.0,76.0,48.0,0,8,3.0
8,Columbia,Quevedo,1,2023.0,7,7,714,43,58149378.0,25,89,30,13,194.0,100.0,F,Major,67.0,26.0,71.0,37.0,0,11,4.0
9,Fukumean,Gunna,1,2023.0,5,15,1096,83,95217315.0,60,210,48,11,953.0,130.0,C#,Minor,85.0,22.0,62.0,12.0,0,28,9.0
10,La Bebe,"Peso Pluma, Yng Lvcas",2,2023.0,3,17,2953,44,553634067.0,49,110,66,13,339.0,170.0,D,Minor,81.0,56.0,48.0,21.0,0,8,33.0
11,Un X100To,"Bad Bunny, Grupo Frontera",2,2023.0,4,17,2876,40,505671438.0,41,205,54,12,251.0,83.0,F#,Minor,57.0,56.0,72.0,23.0,0,27,5.0
12,Super Shy,Newjeans,1,2023.0,7,7,422,55,58255150.0,37,202,21,5,168.0,150.0,F,Minor,78.0,52.0,82.0,18.0,0,15,7.0
13,Flowers,Miley Cyrus,1,2023.0,1,12,12211,115,1316855716.0,300,215,745,58,1021.0,118.0,C,Major,71.0,65.0,68.0,6.0,0,3,7.0
14,Daylight,David Kushner,1,2023.0,4,14,3528,98,387570742.0,80,156,182,24,1281.0,130.0,D,Minor,51.0,32.0,43.0,83.0,0,9,3.0
15,As It Was,Harry Styles,1,2022.0,3,31,23575,130,2513188493.0,403,198,863,46,0.0,174.0,F#,Minor,52.0,66.0,73.0,34.0,0,31,6.0
16,Kill Bill,Sza,1,2022.0,12,8,8109,77,1163093654.0,183,162,161,12,187.0,89.0,G#,Major,64.0,43.0,73.0,5.0,17,16,4.0
17,Cupid,Fifty Fifty,1,2023.0,2,24,2942,77,496795686.0,91,212,78,6,0.0,120.0,B,Minor,78.0,76.0,59.0,43.0,0,34,3.0
18,What Was I Made For?,Billie Eilish,1,2023.0,7,13,873,104,30546883.0,80,227,95,24,1173.0,78.0,C,Major,44.0,14.0,9.0,96.0,0,10,3.0
19,Classy 101,"Feid, Young Miko",2,2023.0,3,31,2610,40,335222234.0,43,100,54,14,187.0,100.0,B,Major,86.0,67.0,66.0,14.0,0,12,16.0
20,Like Crazy,Jimin,1,2023.0,3,24,596,68,363369738.0,8,104,23,2,29.0,120.0,G,Major,63.0,36.0,73.0,0.0,0,36,4.0
21,Lady Gaga,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023.0,6,22,332,26,86444842.0,11,163,10,4,0.0,140.0,F,Minor,65.0,87.0,74.0,22.0,0,42,4.0
22,I Can See You,Taylor Swift,1,2023.0,7,7,516,38,52135248.0,73,119,42,1,150.0,123.0,F#,Major,69.0,82.0,76.0,6.0,0,6,3.0
23,I Wanna Be Yours,Arctic Monkeys,1,2013.0,1,1,12859,110,1297026226.0,24,98,582,2,73.0,135.0,C,Minor,48.0,44.0,42.0,12.0,2,11,3.0
24,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023.0,5,31,1313,40,200647221.0,17,152,32,11,139.0,133.0,F,Minor,85.0,81.0,67.0,26.0,0,12,5.0
25,Popular,"The Weeknd, Madonna, Playboi Carti",3,2023.0,6,2,1945,87,115364561.0,74,182,87,14,1093.0,99.0,C#,Major,85.0,83.0,68.0,7.0,0,36,20.0
26,Sabor Fresa,Fuerza Regida,1,2023.0,6,22,250,26,78300654.0,16,149,10,5,168.0,130.0,G,Minor,79.0,96.0,86.0,9.0,0,9,9.0
27,Calm Down,"Rema, Selena Gomez",2,2022.0,3,25,7112,77,899183384.0,202,119,318,38,96.0,107.0,B,Major,80.0,82.0,80.0,43.0,0,14,4.0
28,Mojabi Ghost,"Tainy, Bad Bunny",2,2023.0,6,29,859,40,61245289.0,35,109,41,14,211.0,122.0,F#,Minor,81.0,74.0,71.0,14.0,0,56,4.0
29,Last Night,Morgan Wallen,1,2023.0,1,31,2420,19,429829812.0,52,107,15,1,325.0,204.0,F#,Major,52.0,52.0,68.0,46.0,0,15,4.0
30,Dance The Night,Dua Lipa,1,2023.0,5,25,2988,101,127408954.0,0,0,143,38,0.0,110.0,B,Minor,67.0,78.0,85.0,2.0,0,33,5.0
31,Rush,Troye Sivan,1,2023.0,7,13,864,78,22581161.0,71,135,50,1,294.0,126.0,F,Minor,74.0,35.0,84.0,0.0,0,11,6.0
32,Tulum,"Peso Pluma, Grupo Frontera",2,2023.0,6,28,266,34,52294266.0,20,185,13,8,197.0,168.0,F#,Major,56.0,63.0,87.0,39.0,0,11,5.0
33,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022.0,12,2,6036,88,843957510.0,113,149,245,23,27.0,98.0,C#,Minor,71.0,17.0,61.0,36.0,0,8,5.0
34,Anti-Hero,Taylor Swift,1,2022.0,10,21,9082,56,999748277.0,242,142,165,9,310.0,97.0,E,Major,64.0,51.0,63.0,12.0,0,19,5.0
35,Tqg,"Karol G, Shakira",2,2023.0,2,23,4284,49,618990393.0,115,123,184,18,354.0,180.0,E,Minor,72.0,61.0,63.0,67.0,0,9,28.0
36,Los Del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, Fmk, Rusherking, Emilia, Tiago Pzk",8,2023.0,6,1,1150,31,123122413.0,22,33,34,7,184.0,120.0,C,Major,81.0,63.0,68.0,11.0,0,11,4.0
37,Frágil,"Yahritza Y Su Esencia, Grupo Frontera",2,2023.0,4,7,672,34,188933502.0,19,108,24,9,212.0,150.0,F#,Major,61.0,39.0,73.0,37.0,0,11,3.0
38,Blank Space,Taylor Swift,1,2014.0,1,1,11434,53,1355959075.0,154,123,410,2,81.0,96.0,F,Major,75.0,57.0,68.0,9.0,0,13,6.0
39,Style,Taylor Swift,1,2014.0,1,1,7830,42,786181836.0,94,111,151,4,82.0,95.0,D,Major,60.0,48.0,79.0,0.0,0,12,4.0
40,Tqm,Fuerza Regida,1,2023.0,5,19,584,28,176553476.0,16,159,15,6,100.0,125.0,F,Minor,79.0,96.0,85.0,27.0,0,11,6.0
41,El Azul,"Junior H, Peso Pluma",2,2023.0,2,10,692,25,354495408.0,10,107,6,3,62.0,144.0,A,Minor,56.0,84.0,65.0,23.0,0,10,6.0
42,Sunflower,"Post Malone, Swae Lee",2,2018.0,10,9,24094,78,2808096550.0,372,117,843,4,69.0,90.0,D,Major,76.0,91.0,50.0,54.0,0,7,5.0
43,I'M Good,"Bebe Rexha, David Guetta",2,2022.0,8,26,12482,80,1109433169.0,291,184,537,45,727.0,128.0,G,Minor,56.0,38.0,97.0,4.0,0,35,4.0
44,See You Again,"Tyler The Creator, Kali Uchis",2,2017.0,7,21,13387,64,1047101291.0,77,58,247,1,311.0,79.0,F#,Major,56.0,58.0,56.0,37.0,0,11,10.0
45,Barbie World,"Nicki Minaj, Aqua, Ice Spice",3,2023.0,6,23,1117,80,65156199.0,82,145,65,16,1133.0,144.0,C,Major,77.0,75.0,58.0,52.0,0,23,25.0
46,Angels Like You,Miley Cyrus,1,2020.0,11,27,3372,19,570515054.0,65,48,138,1,102.0,122.0,F,Major,67.0,49.0,64.0,10.0,0,10,3.0
47,I Ain'T Worried,Onerepublic,1,2022.0,5,13,8431,76,1085685420.0,241,127,458,37,332.0,140.0,C,Major,71.0,82.0,81.0,11.0,0,6,5.0
48,Die For You,The Weeknd,1,2016.0,11,24,2483,59,1647990401.0,68,21,24,0,259.0,134.0,C#,Minor,59.0,51.0,52.0,9.0,0,15,7.0
49,Starboy,"The Weeknd, Daft Punk",2,2016.0,9,21,29536,79,2565529693.0,281,137,2445,1,140.0,186.0,G,Major,68.0,49.0,59.0,16.0,0,13,28.0
50,Die For You,"Ariana Grande, The Weeknd",2,2023.0,2,24,3408,47,518745108.0,87,86,74,1,16.0,67.0,C#,Minor,53.0,50.0,53.0,23.0,0,44,7.0
51,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023.0,6,2,1298,38,107753850.0,44,64,57,10,110.0,106.0,A#,Minor,72.0,17.0,64.0,7.0,0,10,5.0
52,Baby Don'T Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023.0,4,6,4277,66,177740666.0,145,111,213,11,810.0,128.0,G,Major,60.0,23.0,91.0,0.0,0,12,3.0
53,Amargura,Karol G,1,2023.0,2,24,1133,39,153372011.0,14,71,23,10,176.0,107.0,F#,Minor,92.0,55.0,70.0,18.0,0,15,7.0
54,(It Goes Like) Nanana,Peggy Gou,1,2023.0,6,15,2259,59,57876440.0,0,0,109,17,0.0,130.0,G,Minor,67.0,96.0,88.0,12.0,19,8,4.0
